24/11/2020 20:33:20 Se conecto con ip:127.0.0.1 SE: 77391571
24/11/2020 20:34:58 Se conecto con ip:127.0.0.1 SE: 77391571
24/11/2020 20:44:35 Se conecto con ip:127.0.0.1 SE: 77391571
24/11/2020 20:45:31 Se conecto con ip:127.0.0.1 SE: 77391571
9/12/2020 10:42:28 Se conecto con ip:127.0.0.1 SE: 77391571
15/12/2020 09:31:26 Se conecto con ip:127.0.0.1 SE: 77391571
15/12/2020 09:37:58 Transporto a Snow hacia Mapa35 X:31 Y:77
15/12/2020 09:37:58 Transporto a Snow hacia Mapa35 X:40 Y:78
15/12/2020 09:38:06 Transporto a Snow hacia Mapa35 X:53 Y:82
15/12/2020 09:38:07 Transporto a Snow hacia Mapa35 X:62 Y:82
15/12/2020 09:38:07 Transporto a Snow hacia Mapa35 X:68 Y:84
15/12/2020 09:38:07 Transporto a Snow hacia Mapa35 X:72 Y:87
15/12/2020 09:38:08 Transporto a Snow hacia Mapa35 X:77 Y:89
15/12/2020 09:38:08 Transporto a Snow hacia Mapa35 X:82 Y:91
15/12/2020 09:38:17 Transporto a Snow hacia Mapa32 X:26 Y:24
15/12/2020 09:38:17 Transporto a Snow hacia Mapa32 X:29 Y:29
15/12/2020 09:38:18 Transporto a Snow hacia Mapa32 X:29 Y:35
15/12/2020 09:38:18 Transporto a Snow hacia Mapa32 X:28 Y:40
15/12/2020 09:38:18 Transporto a Snow hacia Mapa32 X:29 Y:44
15/12/2020 09:38:18 Transporto a Snow hacia Mapa32 X:30 Y:48
15/12/2020 09:38:19 Transporto a Snow hacia Mapa32 X:30 Y:42
15/12/2020 09:38:19 Transporto a Snow hacia Mapa32 X:30 Y:36
15/12/2020 09:38:20 Transporto a Snow hacia Mapa32 X:35 Y:38
29/12/2020 12:13:34 RAYO GM: Lobo >> Especial <<
29/12/2020 12:15:18 RAYO GM: Goblin >>  Líder <<
29/12/2020 12:17:40 RAYO GM: Araña gigante
29/12/2020 12:17:42 RAYO GM: Troglodita
29/12/2020 12:17:43 RAYO GM: Troglodita
18/1/2021 11:30:11 Se conecto con ip:127.0.0.1 SE: 77391571
18/1/2021 11:30:28 Transporto a Snow hacia Mapa34 X:33 Y:81
18/1/2021 11:30:28 Transporto a Snow hacia Mapa34 X:33 Y:76
18/1/2021 11:30:29 Transporto a Snow hacia Mapa34 X:32 Y:81
18/1/2021 11:30:29 Transporto a Snow hacia Mapa34 X:31 Y:86
18/1/2021 11:30:30 Transporto a Snow hacia Mapa34 X:25 Y:85
18/1/2021 11:30:35 Transporto a Snow hacia Mapa34 X:28 Y:81
18/1/2021 11:30:35 Transporto a Snow hacia Mapa34 X:38 Y:76
18/1/2021 11:30:36 Transporto a Snow hacia Mapa34 X:42 Y:69
18/1/2021 11:30:36 Transporto a Snow hacia Mapa34 X:41 Y:63
18/1/2021 11:30:36 Transporto a Snow hacia Mapa34 X:39 Y:58
18/1/2021 11:30:37 Transporto a Snow hacia Mapa34 X:47 Y:60
18/1/2021 11:30:37 Transporto a Snow hacia Mapa34 X:52 Y:66
18/1/2021 11:30:39 Transporto a Snow hacia Mapa34 X:61 Y:67
18/1/2021 11:30:39 Transporto a Snow hacia Mapa34 X:67 Y:67
18/1/2021 11:30:40 Transporto a Snow hacia Mapa34 X:72 Y:64
18/1/2021 11:30:45 Transporto a Snow hacia Mapa34 X:80 Y:64
18/1/2021 11:30:45 Transporto a Snow hacia Mapa34 X:80 Y:58
18/1/2021 11:30:45 Transporto a Snow hacia Mapa34 X:79 Y:51
18/1/2021 11:30:45 Transporto a Snow hacia Mapa34 X:76 Y:45
18/1/2021 11:30:45 Transporto a Snow hacia Mapa34 X:72 Y:40
18/1/2021 11:30:46 Transporto a Snow hacia Mapa34 X:71 Y:36
18/1/2021 11:30:46 Transporto a Snow hacia Mapa34 X:70 Y:32
18/1/2021 11:30:46 Transporto a Snow hacia Mapa34 X:67 Y:27
18/1/2021 11:30:46 Transporto a Snow hacia Mapa34 X:63 Y:22
18/1/2021 11:30:47 Transporto a Snow hacia Mapa34 X:60 Y:17
18/1/2021 11:30:47 Transporto a Snow hacia Mapa34 X:56 Y:13
18/1/2021 11:30:47 Transporto a Snow hacia Mapa34 X:52 Y:9
18/1/2021 11:30:48 Transporto a Snow hacia Mapa34 X:43 Y:12
18/1/2021 11:30:48 Transporto a Snow hacia Mapa34 X:34 Y:15
18/1/2021 11:30:52 Transporto a Snow hacia Mapa35 X:39 Y:80
18/1/2021 11:30:52 Transporto a Snow hacia Mapa35 X:44 Y:74
18/1/2021 11:30:52 Transporto a Snow hacia Mapa35 X:49 Y:69
18/1/2021 11:30:53 Transporto a Snow hacia Mapa35 X:54 Y:66
18/1/2021 11:30:54 Transporto a Snow hacia Mapa35 X:56 Y:70
18/1/2021 11:30:56 Transporto a Snow hacia Mapa35 X:62 Y:66
18/1/2021 11:30:56 Transporto a Snow hacia Mapa35 X:65 Y:61
18/1/2021 11:30:56 Transporto a Snow hacia Mapa35 X:66 Y:55
18/1/2021 11:30:57 Transporto a Snow hacia Mapa35 X:64 Y:49
18/1/2021 11:30:57 Transporto a Snow hacia Mapa35 X:61 Y:44
18/1/2021 11:30:57 Transporto a Snow hacia Mapa35 X:57 Y:40
18/1/2021 11:30:57 Transporto a Snow hacia Mapa35 X:54 Y:38
18/1/2021 11:30:57 Transporto a Snow hacia Mapa35 X:51 Y:37
18/1/2021 11:30:58 Transporto a Snow hacia Mapa35 X:47 Y:37
18/1/2021 11:30:58 Transporto a Snow hacia Mapa35 X:42 Y:37
18/1/2021 11:30:58 Transporto a Snow hacia Mapa35 X:37 Y:39
18/1/2021 11:30:58 Transporto a Snow hacia Mapa35 X:33 Y:42
18/1/2021 11:30:59 Transporto a Snow hacia Mapa35 X:32 Y:46
18/1/2021 11:30:59 Transporto a Snow hacia Mapa35 X:33 Y:50
18/1/2021 11:30:59 Transporto a Snow hacia Mapa35 X:32 Y:53
18/1/2021 11:30:59 Transporto a Snow hacia Mapa35 X:25 Y:52
18/1/2021 11:30:59 Transporto a Snow hacia Mapa35 X:17 Y:51
18/1/2021 11:31:00 Transporto a Snow hacia Mapa35 X:16 Y:56
18/1/2021 11:31:00 Transporto a Snow hacia Mapa35 X:17 Y:61
18/1/2021 11:31:00 Transporto a Snow hacia Mapa35 X:19 Y:65
18/1/2021 11:31:01 Transporto a Snow hacia Mapa35 X:17 Y:59
18/1/2021 11:31:02 Transporto a Snow hacia Mapa35 X:20 Y:56
18/1/2021 11:31:03 Transporto a Snow hacia Mapa35 X:22 Y:52
18/1/2021 11:31:03 Transporto a Snow hacia Mapa35 X:18 Y:51
18/1/2021 11:31:03 Transporto a Snow hacia Mapa35 X:16 Y:48
18/1/2021 11:31:03 Transporto a Snow hacia Mapa35 X:15 Y:42
18/1/2021 11:31:03 Transporto a Snow hacia Mapa35 X:15 Y:35
18/1/2021 11:31:05 Transporto a Snow hacia Mapa35 X:21 Y:31
18/1/2021 11:31:05 Transporto a Snow hacia Mapa35 X:29 Y:28
18/1/2021 11:31:06 Transporto a Snow hacia Mapa35 X:37 Y:27
18/1/2021 11:31:06 Transporto a Snow hacia Mapa35 X:45 Y:31
18/1/2021 11:31:06 Transporto a Snow hacia Mapa35 X:52 Y:36
18/1/2021 11:31:06 Transporto a Snow hacia Mapa35 X:59 Y:41
18/1/2021 11:31:07 Transporto a Snow hacia Mapa35 X:63 Y:39
18/1/2021 11:31:07 Transporto a Snow hacia Mapa35 X:70 Y:39
18/1/2021 11:31:07 Transporto a Snow hacia Mapa35 X:76 Y:42
18/1/2021 11:31:07 Transporto a Snow hacia Mapa35 X:81 Y:46
18/1/2021 11:31:08 Transporto a Snow hacia Mapa35 X:86 Y:50
18/1/2021 11:31:10 Transporto a Snow hacia Mapa4 X:25 Y:55
18/1/2021 11:31:10 Transporto a Snow hacia Mapa4 X:32 Y:61
18/1/2021 11:31:10 Transporto a Snow hacia Mapa4 X:30 Y:55
18/1/2021 11:31:10 Transporto a Snow hacia Mapa4 X:27 Y:49
18/1/2021 11:31:18 Transporto a Snow hacia Mapa4 X:28 Y:53
18/1/2021 11:31:18 Transporto a Snow hacia Mapa4 X:34 Y:56
18/1/2021 11:31:18 Transporto a Snow hacia Mapa4 X:37 Y:59
18/1/2021 11:31:19 Transporto a Snow hacia Mapa4 X:38 Y:62
18/1/2021 11:31:19 Transporto a Snow hacia Mapa4 X:38 Y:65
18/1/2021 11:31:19 Transporto a Snow hacia Mapa4 X:38 Y:68
18/1/2021 11:31:19 Transporto a Snow hacia Mapa4 X:45 Y:66
18/1/2021 11:31:20 Transporto a Snow hacia Mapa4 X:51 Y:62
18/1/2021 11:31:20 Transporto a Snow hacia Mapa4 X:57 Y:63
18/1/2021 11:31:20 Transporto a Snow hacia Mapa4 X:63 Y:65
18/1/2021 11:31:21 Transporto a Snow hacia Mapa4 X:65 Y:69
18/1/2021 11:31:21 Transporto a Snow hacia Mapa4 X:65 Y:73
18/1/2021 11:31:21 Transporto a Snow hacia Mapa4 X:63 Y:76
18/1/2021 11:31:21 Transporto a Snow hacia Mapa4 X:59 Y:79
18/1/2021 11:31:22 Transporto a Snow hacia Mapa4 X:55 Y:82
18/1/2021 11:31:25 Transporto a Snow hacia Mapa32 X:65 Y:13
18/1/2021 11:31:26 Transporto a Snow hacia Mapa32 X:66 Y:12
18/1/2021 11:31:27 Transporto a Snow hacia Mapa32 X:71 Y:15
18/1/2021 11:31:28 Transporto a Snow hacia Mapa32 X:70 Y:19
18/1/2021 11:31:28 Transporto a Snow hacia Mapa32 X:68 Y:24
18/1/2021 11:31:28 Transporto a Snow hacia Mapa32 X:65 Y:29
18/1/2021 11:31:29 Transporto a Snow hacia Mapa32 X:64 Y:33
18/1/2021 11:31:29 Transporto a Snow hacia Mapa32 X:65 Y:38
18/1/2021 11:31:29 Transporto a Snow hacia Mapa32 X:68 Y:43
18/1/2021 11:31:30 Transporto a Snow hacia Mapa32 X:67 Y:47
18/1/2021 11:31:30 Transporto a Snow hacia Mapa32 X:65 Y:51
18/1/2021 11:31:30 Transporto a Snow hacia Mapa32 X:60 Y:53
